customer_name,product_id,quantity
Customer 136,4,6
Customer 137,66,7
Customer 138,84,1
Customer 139,99,1
Customer 140,45,6
Customer 141,12,5
Customer 142,37,7
Customer 143,50,1
Customer 144,9,9
Customer 145,48,8
Customer 146,33,4
Customer 147,36,4
Customer 148,100,2
Customer 149,28,4
Customer 150,63,5
Customer 151,58,6
Customer 152,91,4
Customer 153,1,8
Customer 154,95,5
Customer 155,3,1
Customer 156,31,1
Customer 157,22,7
Customer 158,57,10
Customer 159,23,1
Customer 160,53,3
Customer 161,76,7
Customer 162,44,6
Customer 163,73,3
Customer 164,15,9
Customer 165,83,9
Customer 166,70,9
Customer 167,37,2
Customer 168,17,3
Customer 169,32,4
Customer 170,14,10
Customer 171,57,10
Customer 172,78,3
Customer 173,12,3
Customer 174,47,7
Customer 175,7,7
Customer 176,51,8
Customer 177,5,4
Customer 178,51,2
Customer 179,51,3
Customer 180,78,9
Customer 181,34,7
Customer 182,31,2
Customer 183,6,5
Customer 184,9,2
Customer 185,49,2
Customer 186,90,7
Customer 187,40,1
Customer 188,74,9
Customer 189,51,6
Customer 190,90,7
Customer 191,39,4
Customer 192,40,1
Customer 193,56,1
Customer 194,28,9
Customer 195,63,3
Customer 196,35,3
Customer 197,68,4
Customer 198,30,3
Customer 199,30,1
Customer 200,41,3
Customer 201,72,5
Customer 202,99,1
Customer 203,92,1
Customer 204,23,4
Customer 205,50,8
Customer 206,66,3
Customer 207,65,2
Customer 208,76,3
Customer 209,23,6
Customer 210,5,7
Customer 211,43,2
Customer 212,70,9
Customer 213,4,7
Customer 214,57,7
Customer 215,17,2
Customer 216,62,5
Customer 217,68,5
Customer 218,46,9
Customer 219,57,9
Customer 220,42,9
Customer 221,54,9
Customer 222,84,9
Customer 223,19,1
Customer 224,55,6
Customer 225,60,5
Customer 226,36,10
Customer 227,44,10
Customer 228,1,8
Customer 229,100,1
Customer 230,39,7
Customer 231,68,4
Customer 232,81,1
Customer 233,71,3
Customer 234,81,1
Customer 235,36,8
Customer 236,93,9
Customer 237,4,2
Customer 238,76,4
Customer 239,95,3
Customer 240,9,8
Customer 241,63,2
Customer 242,76,5
Customer 243,48,9
Customer 244,12,6
Customer 245,68,6
Customer 246,89,10
Customer 247,81,9
Customer 248,96,4
Customer 249,82,5
Customer 250,92,10
Customer 251,73,1
Customer 252,25,5
Customer 253,49,3
Customer 254,28,2
Customer 255,21,2
Customer 256,47,10
Customer 257,25,1
Customer 258,42,5
Customer 259,18,4
Customer 260,76,5
Customer 261,16,9
Customer 262,50,10
Customer 263,94,3
Customer 264,52,7
Customer 265,9,3
Customer 266,79,9
Customer 267,74,9
Customer 268,59,1
Customer 269,83,10
Customer 270,8,6
Customer 271,42,8
Customer 272,79,9
Customer 273,81,2
Customer 274,72,7
Customer 275,43,4
Customer 276,20,5
Customer 277,48,3
Customer 278,68,1
Customer 279,76,10
Customer 280,77,8
Customer 281,83,5
Customer 282,28,4
Customer 283,55,1
Customer 284,31,3
Customer 285,95,6
Customer 286,36,5
Customer 287,100,9
Customer 288,84,5
Customer 289,85,4
Customer 290,36,8
Customer 291,5,3
Customer 292,16,7
Customer 293,96,3
Customer 294,89,7
Customer 295,8,4
Customer 296,88,10
Customer 297,35,7
Customer 298,73,2
Customer 299,79,1
Customer 300,39,4
Customer 301,32,9
Customer 302,28,6
Customer 303,99,9
Customer 304,20,3
Customer 305,30,3
Customer 306,73,7
Customer 307,20,3
Customer 308,54,1
Customer 309,30,5
Customer 310,97,10
Customer 311,27,10
Customer 312,71,9
Customer 313,84,4
Customer 314,44,7
Customer 315,42,8
Customer 316,65,6
Customer 317,6,2
Customer 318,77,3
Customer 319,3,3
Customer 320,80,10
Customer 321,99,10
Customer 322,72,9
Customer 323,17,3
Customer 324,20,6
Customer 325,11,4
Customer 326,78,1
Customer 327,78,7
Customer 328,37,2
Customer 329,22,7
Customer 330,4,5
Customer 331,99,1
Customer 332,23,4
Customer 333,66,1
Customer 334,61,8
Customer 335,89,2
Customer 336,65,7
Customer 337,1,4
Customer 338,20,5
Customer 339,25,7
Customer 340,15,2
Customer 341,71,5
Customer 342,83,7
Customer 343,51,8
Customer 344,68,2
Customer 345,77,9
Customer 346,56,3
Customer 347,31,4
Customer 348,19,4
Customer 349,31,1
Customer 350,4,7
Customer 351,28,1
Customer 352,60,7
Customer 353,21,7
Customer 354,95,6
Customer 355,65,1
Customer 356,90,3
Customer 357,41,6
Customer 358,28,6
Customer 359,9,8
Customer 360,68,9
Customer 361,26,4
Customer 362,5,9
Customer 363,45,4
Customer 364,97,7
Customer 365,20,1
Customer 366,56,9
Customer 367,72,3
Customer 368,2,1
Customer 369,16,4
Customer 370,78,1
Customer 371,16,6
Customer 372,6,4
Customer 373,19,7
Customer 374,18,6
Customer 375,49,2
Customer 376,56,6
Customer 377,19,2
Customer 378,95,9
Customer 379,20,1
Customer 380,54,1
Customer 381,70,5
Customer 382,17,7
Customer 383,7,2
Customer 384,38,1
Customer 385,8,10
Customer 386,16,6
Customer 387,58,6
Customer 388,35,9
Customer 389,8,5
Customer 390,63,3
Customer 391,46,8
Customer 392,39,5
Customer 393,28,6
Customer 394,40,8
Customer 395,16,8
Customer 396,36,5
Customer 397,11,9
Customer 398,2,7
Customer 399,31,8
Customer 400,37,7
Customer 401,95,6
Customer 402,62,3
Customer 403,96,7
Customer 404,35,6
Customer 405,76,1
Customer 406,97,8
Customer 407,35,4
Customer 408,73,9
Customer 409,86,1
Customer 410,98,3
Customer 411,15,6
Customer 412,83,1
Customer 413,63,9
Customer 414,72,2
Customer 415,48,9
Customer 416,65,2
Customer 417,28,6
Customer 418,90,8
Customer 419,22,10
Customer 420,34,1
Customer 421,66,8
Customer 422,35,2
Customer 423,1,3
Customer 424,37,1
Customer 425,72,5
Customer 426,80,9
Customer 427,23,5
Customer 428,58,2
Customer 429,24,2
Customer 430,77,6
Customer 431,77,1
Customer 432,69,1
Customer 433,54,2
Customer 434,97,6
Customer 435,25,7
Customer 436,16,4
Customer 437,70,10
Customer 438,79,10
Customer 439,43,4
Customer 440,46,7
Customer 441,11,6
Customer 442,81,1
Customer 443,73,4
Customer 444,56,3
Customer 445,52,8
Customer 446,34,5
Customer 447,51,10
Customer 448,89,4
Customer 449,30,6
Customer 450,23,5
Customer 451,16,6
Customer 452,4,4
Customer 453,49,1
Customer 454,79,5
Customer 455,47,8
Customer 456,19,7
Customer 457,93,1
Customer 458,47,7
Customer 459,14,2
Customer 460,14,7
Customer 461,98,10
Customer 462,74,1
Customer 463,89,10
Customer 464,24,6
Customer 465,61,9
Customer 466,32,3
Customer 467,98,9
Customer 468,71,10
Customer 469,29,2
Customer 470,33,10
Customer 471,36,2
Customer 472,9,9
Customer 473,11,5
Customer 474,49,5
Customer 475,44,5
Customer 476,1,4
Customer 477,64,9
Customer 478,69,8
Customer 479,79,8
Customer 480,47,5
Customer 481,38,5
Customer 482,71,7
Customer 483,43,9
Customer 484,75,10
Customer 485,86,8
Customer 486,29,3
Customer 487,15,8
Customer 488,9,3
Customer 489,66,3
Customer 490,92,3
Customer 491,59,2
Customer 492,38,1
Customer 493,34,8
Customer 494,93,10
Customer 495,95,10
Customer 496,55,8
Customer 497,61,4
Customer 498,18,6
Customer 499,96,1
Customer 500,35,6
Customer 501,87,2
Customer 502,78,2
Customer 503,18,3
Customer 504,69,1
Customer 505,65,6
Customer 506,90,6
Customer 507,80,9
Customer 508,34,5
Customer 509,71,8
Customer 510,18,3
Customer 511,21,5
Customer 512,68,5
Customer 513,76,10
Customer 514,84,1
Customer 515,46,9
Customer 516,19,7
Customer 517,93,10
Customer 518,56,5
Customer 519,20,9
Customer 520,24,5
Customer 521,84,4
Customer 522,38,8
Customer 523,68,4
Customer 524,27,8
Customer 525,16,1
Customer 526,10,8
Customer 527,42,2
Customer 528,24,5
Customer 529,14,8
Customer 530,88,7
Customer 531,91,2
Customer 532,4,5
Customer 533,55,9
Customer 534,7,3
Customer 535,22,3
Customer 536,96,4
Customer 537,23,3
Customer 538,79,3
Customer 539,65,7
Customer 540,15,3
Customer 541,9,2
Customer 542,76,9
Customer 543,35,6
Customer 544,48,2
Customer 545,50,5
Customer 546,60,6
Customer 547,84,6
Customer 548,84,2
Customer 549,95,10
Customer 550,100,5
Customer 551,48,4
Customer 552,20,2
Customer 553,24,7
Customer 554,48,1
Customer 555,33,6
Customer 556,35,4
Customer 557,59,8
Customer 558,65,9
Customer 559,32,2
Customer 560,36,7
Customer 561,28,3
Customer 562,8,7
Customer 563,62,2
Customer 564,96,1
Customer 565,12,1
Customer 566,85,3
Customer 567,6,9
Customer 568,40,7
Customer 569,25,2
Customer 570,70,3
Customer 571,24,1
Customer 572,92,1
Customer 573,61,9
Customer 574,92,1
Customer 575,19,9
Customer 576,39,6
Customer 577,10,5
Customer 578,52,4
Customer 579,34,5
Customer 580,4,2
Customer 581,75,3
Customer 582,73,7
Customer 583,40,9
Customer 584,66,10
Customer 585,88,10
Customer 586,44,7
Customer 587,9,7
Customer 588,53,10
Customer 589,76,3
Customer 590,52,2
Customer 591,56,1
Customer 592,69,1
Customer 593,36,1
Customer 594,34,1
Customer 595,20,3
Customer 596,25,6
Customer 597,60,2
Customer 598,13,3
Customer 599,86,7
Customer 600,8,6
Customer 601,30,6
Customer 602,46,1
Customer 603,72,8
Customer 604,88,9
Customer 605,66,1
Customer 606,36,5
Customer 607,3,9
Customer 608,5,4
Customer 609,8,5
Customer 610,23,5
Customer 611,75,2
Customer 612,22,9
Customer 613,68,9
Customer 614,98,3
Customer 615,77,10
Customer 616,91,4
Customer 617,24,7
Customer 618,92,3
Customer 619,11,10
Customer 620,11,7
Customer 621,60,5
Customer 622,37,9
Customer 623,5,8
Customer 624,31,6
Customer 625,90,9
Customer 626,73,5
Customer 627,90,5
Customer 628,7,2
Customer 629,10,6
Customer 630,20,8
Customer 631,39,1
Customer 632,89,10
Customer 633,9,4
Customer 634,86,9
Customer 635,9,2
Customer 636,79,8
Customer 637,60,3
Customer 638,8,6
Customer 639,11,10
Customer 640,35,4
Customer 641,45,3
Customer 642,77,7
Customer 643,11,3
Customer 644,79,10
Customer 645,44,1
Customer 646,43,2
Customer 647,96,8
Customer 648,35,9
Customer 649,64,5
Customer 650,96,9
Customer 651,85,1
Customer 652,2,3
Customer 653,76,8
Customer 654,91,5
Customer 655,20,1
Customer 656,62,10
Customer 657,70,10
Customer 658,48,9
Customer 659,58,9
Customer 660,16,1
Customer 661,6,5
Customer 662,74,4
Customer 663,10,5
Customer 664,1,4
Customer 665,35,6
Customer 666,20,10
Customer 667,63,5
Customer 668,78,6
Customer 669,1,7
Customer 670,18,10
Customer 671,36,6
Customer 672,76,7
Customer 673,93,10
Customer 674,28,2
Customer 675,54,5
Customer 676,74,1
Customer 677,71,8
Customer 678,33,3
Customer 679,44,7
Customer 680,96,8
Customer 681,8,10
Customer 682,62,6
Customer 683,38,7
Customer 684,4,3
Customer 685,22,6
Customer 686,60,7
Customer 687,98,3
Customer 688,97,5
Customer 689,3,5
Customer 690,86,2
Customer 691,29,2
Customer 692,68,2
Customer 693,14,2
Customer 694,57,8
Customer 695,37,5
Customer 696,31,4
Customer 697,2,3
Customer 698,13,3
Customer 699,87,8
Customer 700,86,6
Customer 701,94,10
Customer 702,49,8
Customer 703,90,1
Customer 704,26,5
Customer 705,70,6
Customer 706,94,6
Customer 707,91,2
Customer 708,37,10
Customer 709,11,4
Customer 710,64,2
Customer 711,84,4
Customer 712,49,4
Customer 713,92,1
Customer 714,79,3
Customer 715,17,9
Customer 716,18,7
Customer 717,55,6
Customer 718,25,7
Customer 719,18,5
Customer 720,74,8
Customer 721,72,4
Customer 722,30,4
Customer 723,31,4
Customer 724,31,2
Customer 725,95,6
Customer 726,30,6
Customer 727,71,5
Customer 728,22,9
Customer 729,57,10
Customer 730,63,10
Customer 731,39,3
Customer 732,68,7
Customer 733,77,4
Customer 734,46,8
Customer 735,71,8
Customer 736,35,8
Customer 737,70,7
Customer 738,35,1
Customer 739,45,9
Customer 740,2,9
Customer 741,13,1
Customer 742,88,4
Customer 743,69,10
Customer 744,55,1
Customer 745,76,8
Customer 746,11,9
Customer 747,4,9
Customer 748,6,8
Customer 749,5,2
Customer 750,33,4
Customer 751,7,5
Customer 752,90,9
Customer 753,33,8
Customer 754,37,6
Customer 755,60,1
Customer 756,47,5
Customer 757,87,3
Customer 758,12,9
Customer 759,89,3
Customer 760,83,6
Customer 761,84,9
Customer 762,45,4
Customer 763,54,3
Customer 764,71,1
Customer 765,58,9
Customer 766,34,7
Customer 767,46,4
Customer 768,6,4
Customer 769,46,10
Customer 770,57,3
Customer 771,74,5
Customer 772,65,5
Customer 773,75,8
Customer 774,88,5
Customer 775,96,1
Customer 776,43,6
Customer 777,84,5
Customer 778,77,6
Customer 779,88,2
Customer 780,30,6
Customer 781,56,5
Customer 782,77,1
Customer 783,52,2
Customer 784,76,2
Customer 785,58,5
Customer 786,10,10
Customer 787,39,6
Customer 788,77,1
Customer 789,19,3
Customer 790,86,6
Customer 791,61,1
Customer 792,18,1
Customer 793,81,9
Customer 794,26,3
Customer 795,55,6
Customer 796,32,3
Customer 797,76,9
Customer 798,21,8
Customer 799,66,3
Customer 800,25,9
Customer 801,17,9
Customer 802,56,4
Customer 803,64,9
Customer 804,9,2
Customer 805,44,6
Customer 806,47,5
Customer 807,25,2
Customer 808,62,8
Customer 809,32,8
Customer 810,27,5
Customer 811,81,1
Customer 812,91,5
Customer 813,96,3
Customer 814,37,7
Customer 815,73,5
Customer 816,1,7
Customer 817,25,8
Customer 818,24,3
Customer 819,100,7
Customer 820,11,7
Customer 821,53,1
Customer 822,36,3
Customer 823,47,9
Customer 824,26,6
Customer 825,88,8
Customer 826,50,2
Customer 827,17,5
Customer 828,19,5
Customer 829,59,8
Customer 830,9,5
Customer 831,39,5
Customer 832,93,5
Customer 833,65,7
Customer 834,27,8
Customer 835,42,2
Customer 836,34,9
Customer 837,15,6
Customer 838,25,1
Customer 839,52,4
Customer 840,63,8
Customer 841,78,9
Customer 842,62,6
Customer 843,64,10
Customer 844,72,5
Customer 845,3,6
Customer 846,44,7
Customer 847,1,9
Customer 848,65,7
Customer 849,57,6
Customer 850,51,1
Customer 851,97,1
Customer 852,32,2
Customer 853,16,2
Customer 854,73,3
Customer 855,92,4
Customer 856,2,2
Customer 857,7,2
Customer 858,13,3
Customer 859,76,9
Customer 860,37,6
Customer 861,2,7
Customer 862,100,9
Customer 863,24,10
Customer 864,80,9
Customer 865,29,8
Customer 866,70,4
Customer 867,91,5
Customer 868,65,7
Customer 869,88,10
Customer 870,81,6
Customer 871,71,4
Customer 872,61,10
Customer 873,29,7
Customer 874,82,3
Customer 875,35,2
Customer 876,5,1
Customer 877,60,9
Customer 878,29,1
Customer 879,81,3
Customer 880,58,8
Customer 881,95,7
Customer 882,26,7
Customer 883,9,3
Customer 884,70,6
Customer 885,65,3
Customer 886,69,1
Customer 887,18,9
Customer 888,77,2
Customer 889,24,7
Customer 890,100,7
Customer 891,55,5
Customer 892,9,4
Customer 893,61,2
Customer 894,32,10
Customer 895,26,3
Customer 896,17,1
Customer 897,33,5
Customer 898,63,2
Customer 899,37,1
Customer 900,8,5
Customer 901,92,7
Customer 902,8,3
Customer 903,22,3
Customer 904,10,5
Customer 905,44,10
Customer 906,64,7
Customer 907,47,3
Customer 908,39,7
Customer 909,66,6
Customer 910,60,4
Customer 911,26,1
Customer 912,46,2
Customer 913,90,4
Customer 914,39,10
Customer 915,35,8
Customer 916,98,7
Customer 917,71,10
Customer 918,88,3
Customer 919,25,1
Customer 920,25,5
Customer 921,65,6
Customer 922,92,7
Customer 923,82,8
Customer 924,97,10
Customer 925,76,10
Customer 926,42,9
Customer 927,86,3
Customer 928,94,8
Customer 929,59,5
Customer 930,89,1
Customer 931,47,2
Customer 932,13,1
Customer 933,61,2
Customer 934,52,2
Customer 935,70,9
Customer 936,44,5
Customer 937,21,9
Customer 938,100,6
Customer 939,34,5
Customer 940,50,9
Customer 941,27,10
Customer 942,94,6
Customer 943,69,5
Customer 944,78,8
Customer 945,34,7
Customer 946,19,6
Customer 947,53,6
Customer 948,38,3
Customer 949,88,4
Customer 950,67,3
Customer 951,17,3
Customer 952,82,5
Customer 953,91,7
Customer 954,82,1
Customer 955,49,4
Customer 956,99,10
Customer 957,28,7
Customer 958,40,3
Customer 959,95,4
Customer 960,58,1
Customer 961,36,10
Customer 962,72,5
Customer 963,7,1
Customer 964,14,10
Customer 965,66,9
Customer 966,25,9
Customer 967,37,1
Customer 968,57,2
Customer 969,54,5
Customer 970,44,2
Customer 971,21,9
Customer 972,18,8
Customer 973,59,10
Customer 974,67,2
Customer 975,85,10
Customer 976,50,8
Customer 977,55,10
Customer 978,60,9
Customer 979,37,10
Customer 980,74,4
Customer 981,45,6
Customer 982,24,5
Customer 983,54,9
Customer 984,40,7
Customer 985,62,8
Customer 986,95,5
Customer 987,87,3
Customer 988,49,2
Customer 989,56,1
Customer 990,83,4
Customer 991,22,10
Customer 992,86,9
Customer 993,10,10
Customer 994,2,10
Customer 995,8,9
Customer 996,63,5
Customer 997,34,2
Customer 998,90,7
Customer 999,36,10
Customer 1000,26,1
Customer 1,15,9
Customer 2,56,2
Customer 3,22,10
Customer 4,81,1
Customer 5,31,6
Customer 6,11,2
Customer 7,31,8
Customer 8,30,10
Customer 9,80,9
Customer 10,47,4
Customer 11,20,5
Customer 12,51,8
Customer 13,49,8
Customer 14,28,10
Customer 15,31,5
Customer 16,72,8
Customer 17,15,10
Customer 18,2,6
Customer 19,95,10
Customer 20,11,7
Customer 21,60,3
Customer 22,59,1
Customer 23,85,1
Customer 24,69,3
Customer 25,88,4
Customer 26,13,10
Customer 27,2,6
Customer 28,95,4
Customer 29,84,8
Customer 30,84,4
Customer 31,65,3
Customer 32,96,3
Customer 33,92,5
Customer 34,46,8
Customer 35,57,7
Customer 36,76,9
Customer 37,23,2
Customer 38,8,6
Customer 39,28,7
Customer 40,69,2
Customer 41,71,8
Customer 42,40,1
Customer 43,23,2
Customer 44,3,3
Customer 45,6,7
Customer 46,45,3
Customer 47,39,7
Customer 48,70,9
Customer 49,22,2
Customer 50,54,5
Customer 51,19,8
Customer 52,82,7
Customer 53,55,6
Customer 54,45,3
Customer 55,24,7
Customer 56,78,9
Customer 57,23,8
Customer 58,72,7
Customer 59,74,7
Customer 60,80,1
Customer 61,79,8
Customer 62,91,8
Customer 63,37,5
Customer 64,36,3
Customer 65,47,7
Customer 66,80,9
Customer 67,21,8
Customer 68,62,4
Customer 69,87,9
Customer 70,69,8
Customer 71,68,7
Customer 72,69,6
Customer 73,65,6
Customer 74,68,9
Customer 75,51,8
Customer 76,27,9
Customer 77,84,9
Customer 78,100,5
Customer 79,64,6
Customer 80,46,5
Customer 81,20,9
Customer 82,78,3
Customer 83,12,7
Customer 84,15,10
Customer 85,85,7
Customer 86,6,7
Customer 87,74,10
Customer 88,54,6
Customer 89,70,9
Customer 90,78,1
Customer 91,60,4
Customer 92,20,10
Customer 93,89,8
Customer 94,33,6
Customer 95,82,4
Customer 96,36,5
Customer 97,14,1
Customer 98,58,1
Customer 99,73,4
Customer 100,89,5
Customer 101,82,10
Customer 102,92,8
Customer 103,1,8
Customer 104,43,8
Customer 105,32,10
Customer 106,19,4
Customer 107,26,6
Customer 108,94,4
Customer 109,35,6
Customer 110,49,8
Customer 111,76,9
Customer 112,24,4
Customer 113,96,5
Customer 114,87,5
Customer 115,33,10
Customer 116,80,2
Customer 117,76,4
Customer 118,87,6
Customer 119,76,9
Customer 120,61,3
Customer 121,34,8
Customer 122,74,5
Customer 123,63,5
Customer 124,17,10
Customer 125,10,10
Customer 126,45,5
Customer 127,79,10
Customer 128,38,4
Customer 129,88,2
Customer 130,39,5
Customer 131,40,10
Customer 132,26,6
Customer 133,29,2
Customer 134,79,8
Customer 135,69,7
Customer 136,20,5
Customer 137,100,6
Customer 138,61,10
Customer 139,43,8
Customer 140,66,9
Customer 141,31,10
Customer 142,39,7
Customer 143,68,3
Customer 144,7,6
Customer 145,25,2
Customer 146,9,7
Customer 147,58,5
Customer 148,53,5
Customer 149,84,6
Customer 150,45,6
Customer 151,4,1
Customer 152,58,4
Customer 153,38,7
Customer 154,7,8
Customer 155,2,8
Customer 156,50,10
Customer 157,69,4
Customer 158,17,1
Customer 159,91,9
Customer 160,37,2
Customer 161,76,10
Customer 162,16,2
Customer 163,67,3
Customer 164,74,8
Customer 165,21,1
Customer 166,83,9
Customer 167,26,2
Customer 168,62,8
Customer 169,16,9
Customer 170,87,8
Customer 171,30,7
Customer 172,67,2
Customer 173,100,10
Customer 174,69,5
Customer 175,91,3
Customer 176,89,9
Customer 177,44,8
Customer 178,47,3
Customer 179,50,5
Customer 180,61,4
Customer 181,24,5
Customer 182,24,8
Customer 183,57,10
Customer 184,90,4
Customer 185,2,8
Customer 186,66,6
Customer 187,92,2
Customer 188,10,2
Customer 189,90,10
Customer 190,91,9
Customer 191,23,5
Customer 192,11,2
Customer 193,55,2
Customer 194,64,10
Customer 195,20,1
Customer 196,41,2
Customer 197,10,10
Customer 198,47,3
Customer 199,28,3
Customer 200,54,10
Customer 201,31,4
Customer 202,33,8
Customer 203,98,4
Customer 204,37,4
Customer 205,93,8
Customer 206,61,2
Customer 207,32,8
Customer 208,65,5
Customer 209,9,2
Customer 210,88,5
Customer 211,38,7
Customer 212,74,5
Customer 213,21,5
Customer 214,38,2
Customer 215,31,10
Customer 216,32,2
Customer 217,68,10
Customer 218,55,7
Customer 219,77,1
Customer 220,93,5
Customer 221,95,8
Customer 222,92,4
Customer 223,49,2
Customer 224,95,4
Customer 225,94,9
Customer 226,94,10
Customer 227,20,6
Customer 228,51,7
Customer 229,12,10
Customer 230,22,6
Customer 231,55,6
Customer 232,7,10
Customer 233,15,10
Customer 234,72,4
Customer 235,35,8
Customer 236,40,8
Customer 237,44,7
Customer 238,80,5
Customer 239,60,8
Customer 240,35,9
Customer 241,37,4
Customer 242,36,10
Customer 243,20,3
Customer 244,75,9
Customer 245,60,1
Customer 246,28,2
Customer 247,97,7
Customer 248,43,4
Customer 249,53,5
Customer 250,73,2
Customer 251,51,4
Customer 252,98,1
Customer 253,37,8
Customer 254,55,6
Customer 255,4,2
Customer 256,38,2
Customer 257,10,7
Customer 258,74,8
Customer 259,40,3
Customer 260,23,1
Customer 261,94,4
Customer 262,58,8
Customer 263,5,3
Customer 264,9,4
Customer 265,15,7
Customer 266,66,9
Customer 267,56,10
Customer 268,76,5
Customer 269,12,2
Customer 270,53,9
Customer 271,87,2
Customer 272,60,10
Customer 273,41,7
Customer 274,30,7
Customer 275,50,9
Customer 276,87,5
Customer 277,99,8
Customer 278,99,8
Customer 279,86,4
Customer 280,14,2
Customer 281,64,8
Customer 282,54,8
Customer 283,9,4
Customer 284,43,2
Customer 285,93,4
Customer 286,1,3
Customer 287,71,8
Customer 288,41,3
Customer 289,76,1
Customer 290,97,8
Customer 291,90,5
Customer 292,47,5
Customer 293,43,10
Customer 294,80,9
Customer 295,85,6
Customer 296,31,5
Customer 297,32,10
Customer 298,12,10
Customer 299,79,5
Customer 300,91,6
Customer 301,76,5
Customer 302,9,3
Customer 303,95,5
Customer 304,96,1
Customer 305,52,7
Customer 306,62,4
Customer 307,29,9
Customer 308,47,4
Customer 309,24,3
Customer 310,33,9
Customer 311,26,7
Customer 312,20,10
Customer 313,17,9
Customer 314,58,3
Customer 315,77,5
Customer 316,18,3
Customer 317,89,10
Customer 318,28,8
Customer 319,69,9
Customer 320,30,8
Customer 321,5,7
Customer 322,20,1
Customer 323,73,2
Customer 324,71,5
Customer 325,1,4
Customer 326,4,7
Customer 327,16,3
Customer 328,39,6
Customer 329,18,3
Customer 330,68,9
Customer 331,8,5
Customer 332,95,2
Customer 333,3,4
Customer 334,80,1
Customer 335,18,1
Customer 336,39,5
Customer 337,34,1
Customer 338,86,4
Customer 339,76,9
Customer 340,73,4
Customer 341,35,8
Customer 342,66,2
Customer 343,24,1
Customer 344,23,8
Customer 345,5,2
Customer 346,15,9
Customer 347,20,6
Customer 348,30,4
Customer 349,44,10
Customer 350,33,8
Customer 351,35,1
Customer 352,91,1
Customer 353,28,1
Customer 354,84,2
Customer 355,88,3
Customer 356,12,9
Customer 357,58,5
Customer 358,54,10
Customer 359,65,1
Customer 360,51,2
Customer 361,52,7
Customer 362,76,2
Customer 363,42,5
Customer 364,94,4
Customer 365,49,8
Customer 366,50,10
Customer 367,100,5
Customer 368,23,2
Customer 369,25,1
Customer 370,38,1
Customer 371,41,10
Customer 372,86,8
Customer 373,31,6
Customer 374,21,1
Customer 375,94,10
Customer 376,80,3
Customer 377,94,1
Customer 378,91,6
Customer 379,68,8
Customer 380,60,3
Customer 381,97,7
Customer 382,39,7
Customer 383,19,6
Customer 384,41,5
Customer 385,97,8
Customer 386,52,1
Customer 387,7,9
Customer 388,17,5
Customer 389,21,10
Customer 390,67,4
Customer 391,19,2
Customer 392,28,4
Customer 393,54,3
Customer 394,30,1
Customer 395,28,1
Customer 396,76,7
Customer 397,93,10
